ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0009615,response to virus,130/2403,382/18994,0.340314136,2.689940367,12.69825158,8.42E-28,4.99E-24,4.24E-24,Stat1/Ikbke/Tnfsf4/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Ptprc/Ifih1/Samhd1/Cd40/Znfx1/Nmi/Itgb6/Gata3/Zbp1/Tlr7/Il21/Gbp5/Gbp7/Gbp2b/Gbp2/Mov10/Adar/Il12a/Isg15/Penk/Rigi/Ccl19/Stmn1/Cdk6/Gbp4/Fgl2/Cxcl9/Cxcl10/Oas1h/Oas1g/Oas1a/Oas2/Oas3/Oas1e/Oas1b/Oasl2/Oasl1/Il6/Kcnj8/Irf5/Usp18/Apobec1/Il27/Isg20/Pycard/Pou2f2/Ifitm1/Ifitm3/Ifitm6/Trim34a/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Spn/Trim5/Trim34b/Trim21/Irf7/Usp44/Ifngr1/Ddit4/Prf1/Stat2/Tlr3/Il15/Irf2/Mlkl/Ddx60/Il12rb1/Bst2/Calr/Nlrc5/Rnase6/Acod1/Tlr9/Cgas/Pml/Mmp12/Casp1/Lgals9/Rnf135/Slfn9/Slfn8/Igtp/Irgm2/Nlrp1a/Nlrp1b/Tbx21/Ccl5/Irf1/Irgm1/Tgtp1/Dhx58/Odc1/Itgb8/Rsad2/Ifi27l2a/Ifi27l2b/Skp2/Apobec3/Rtp4/Mx1/Mx2/Dtx3l/Parp9/Eif2ak2/Tnf/H2-Q7/Tagap/Ticam2/Sting1/Ifit2/Ifit3/Ifit1bl1/Ifit3b/Ifit1bl2/Ifit1/Unc93b1,130
GO:0051607,defense response to virus,110/2403,306/18994,0.359477124,2.841410111,12.35854126,6.11E-26,1.81E-22,1.54E-22,Stat1/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Mndal/Ifi203/Ptprc/Ifih1/Samhd1/Cd40/Znfx1/Zbp1/Tlr7/Gbp5/Gbp7/Gbp2b/Gbp2/Mov10/Adar/Isg15/Rigi/Gbp4/Fgl2/Cxcl9/Cxcl10/Oas1h/Oas1g/Oas1a/Oas2/Oas3/Oas1e/Oas1b/Oasl2/Oasl1/Il6/Kcnj8/Irf5/Usp18/Apobec1/Il27/Isg20/Pycard/Ifitm1/Ifitm3/Ifitm6/Trim34a/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Spn/Trim5/Trim34b/Trim21/Irf7/Usp44/Ifngr1/Ddit4/Prf1/Stat2/Tlr3/Il15/Irf2/Mlkl/Ddx60/Il12rb1/Bst2/Nlrc5/Rnase6/Acod1/Tlr9/Cgas/Pml/Mmp12/Casp1/Rnf135/Slfn9/Slfn8/Igtp/Irgm2/Nlrp1a/Nlrp1b/Ccl5/Irf1/Irgm1/Dhx58/Rsad2/Ifi27l2b/Skp2/Apobec3/Rtp4/Mx2/Dtx3l/Parp9/Eif2ak2/Tnf/H2-Q7/Tagap/Ticam2/Sting1/Ifit2/Ifit3/Ifit1bl1/Ifit3b/Ifit1bl2/Ifit1/Unc93b1,110
GO:0045088,regulation of innate immune response,144/2403,471/18994,0.305732484,2.416597088,11.84782205,2.76E-25,5.46E-22,4.64E-22,Dusp10/Ikbke/Rab7b/Slamf8/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Slamf6/Ifih1/Fcnb/Samhd1/Znfx1/Nmi/Serping1/Fcna/Rasgrp1/Nr1h3/Zbp1/Sh2d1a/Tasl/Tlr7/Tlr2/Il21/Alpk1/Tifa/Cd160/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Adar/Il12a/Casp6/S100a8/S100a9/S100a14/Smpdl3b/Sfn/Isg15/Ppt1/Tlr12/Rigi/Gfi1/Oas1h/Oas1g/Oas1a/Trafd1/Oas3/Oas1e/Oas1b/Oasl1/Clnk/Kcnj8/Gimap3/Nod1/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Tnip3/Usp18/A2m/Klrb1a/Klrb1c/Klrb1b/Ptpn6/Lag3/Pycard/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Trim5/Trim21/Irf7/Calhm6/Ulbp1/Raet1e/Nepn/Stat2/Tlr3/Irf2/Ddx60/N4bp1/Nlrc5/Tlr11/Acod1/Lacc1/Tlr9/Cgas/Mmp12/Drd2/Crtam/Casp1/Casp4/Ifi35/Lgals9/Rnf135/Igtp/Irgm2/Scimp/Nlrp1a/Nlrp1b/Cd300c2/Cd300ld3/Cd300e/Grn/Irf1/Aurkb/Irgm1/Dhx58/Serpinb9/Tifab/Rsad2/Mefv/Parp14/Parp9/Tap1/Tap2/Nlrc4/H2-M3/Fpr2/Eif2ak2/Tnf/H2-T23/Rnf125/Ticam2/Sting1/Cd74/Cd14/Cd274/Pik3ap1/Unc93b1,144
GO:0035456,response to interferon-beta,47/2403,74/18994,0.635135135,5.020289953,13.18712304,1.50E-24,2.22E-21,1.89E-21,Stat1/Ikbke/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Gbp7/Gbp3/Gbp2b/Gbp2/Gbp6/Oas1h/Oas1g/Oas1a/Oas1e/Oas1b/Htra2/Ifitm1/Ifitm3/Ifitm6/Tlr3/Bst2/Acod1/Igtp/Irgm2/Xaf1/Irf1/Irgm1/Gm5431/Gm12185/9930111J21Rik1/Tgtp1/Tgtp2/Ifi47/Iigp1c/Gm4841/Sting1/F830016B08Rik/Iigp1/Ifit3/Ifit1,47
GO:0001906,cell killing,91/2403,251/18994,0.362549801,2.865697427,11.32389695,5.73E-22,6.79E-19,5.78E-19,Ccl20/Fcgr4/Slamf6/Ptprc/B2m/Rasgrp1/Sh2d1a/Il21/Cd1d1/Cd160/Cd2/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Il12a/Fcgr1/Pglyrp3/Ccl19/Rnf19b/P2rx7/Stap1/Fgl2/Ppbp/Cxcl1/Cxcl9/Cxcl10/Cxcl13/Gimap3/Klrb1f/Clec2d/Klrk1/Klrc3/Klri1/Klri2/Tac1/Klrb1a/Klrb1c/Klrb1b/Ptpn6/Lag3/Ctsc/Mill2/Nkg7/Lyz3/H60c/Ulbp1/Raet1e/H60b/Prf1/Ccl22/Ccl17/Gzmc/Gzmb/Dnase1l3/Pnp/Camp/Ccr5/Cx3cr1/Crtam/Nos2/Lgals9/Ccl8/Igtp/Irgm2/Il13/Ccl2/Ccl11/Serpinb9/Gzma/Cxcl14/Ccl28/Apol11a/Muc4/Trem1/Tap1/Tap2/H2-M3/H2-K1/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7,91
GO:0002833,positive regulation of response to biotic stimulus,126/2403,419/18994,0.30071599,2.376945286,10.8466761,1.46E-21,1.44E-18,1.23E-18,Il17a/Il17f/Ikbke/Rab7b/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Slamf6/Ifih1/Fcnb/Znfx1/Nmi/Fcna/Rasgrp1/Nr1h3/Zbp1/Sh2d1a/Tasl/Tlr7/Cd40lg/Tlr2/Il21/Alpk1/Tifa/Cd160/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Il12a/Casp6/S100a8/S100a9/S100a14/Smpdl3b/Ppt1/Tlr12/Rigi/Gfi1/Cxcl1/Oas1h/Oas1g/Oas1a/Oas3/Oas1e/Oas1b/Oasl1/Clnk/Kcnj8/Gimap3/Nod1/Klrk1/Klrc3/Klri1/Klri2/Tnip3/Klrb1c/Lag3/Pycard/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Trim5/Irf7/Ulbp1/Raet1e/Nepn/Tlr3/Irf2/Ddx60/Nlrc5/Tlr11/Mmrn2/Acod1/Lacc1/Tlr9/Cgas/Mmp12/Crtam/Casp1/Casp4/Ifi35/Lgals9/Rnf135/Igtp/Irgm2/Scimp/Nlrp1a/Nlrp1b/Cd300ld3/Grn/Irf1/Aurkb/Irgm1/Dhx58/Cd180/Ly86/Tifab/Rsad2/Mefv/Parp9/Emilin2/Nlrc4/H2-M3/Fpr2/Eif2ak2/Tnf/H2-T23/Rnf125/Ticam2/Sting1/Cd74/Cd14/Cd274/Pik3ap1/Unc93b1,126
GO:0035458,cellular response to interferon-beta,41/2403,65/18994,0.630769231,4.985780595,12.25021241,2.02E-21,1.71E-18,1.45E-18,Stat1/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Gbp7/Gbp3/Gbp2b/Gbp2/Gbp6/Oas1h/Oas1g/Oas1a/Oas1e/Oas1b/Htra2/Tlr3/Acod1/Igtp/Irgm2/Irf1/Irgm1/Gm5431/Gm12185/9930111J21Rik1/Tgtp1/Tgtp2/Ifi47/Iigp1c/Gm4841/Sting1/F830016B08Rik/Iigp1/Ifit3/Ifit1,41
GO:0048002,antigen processing and presentation of peptide antigen,44/2403,75/18994,0.586666667,4.637181301,12.01113036,4.49E-21,3.32E-18,2.83E-18,Ctse/B2m/Ctss/Fcgr1/Clec4a2/Tapbpl/Clec4a3/Clec4a4/Mill2/Pycard/H60c/Ulbp1/Raet1e/H60b/Marchf1/Calr/H2-DMa/H2-DMb2/H2-DMb1/Tap1/Tap2/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Tapbp/H2-K1/H2-Oa/H2-Eb2/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7/Cd74/Unc93b1/Mpeg1,44
GO:0019882,antigen processing and presentation,58/2403,123/18994,0.471544715,3.727224438,11.54817526,6.20E-21,4.08E-18,3.47E-18,Ctse/Fcgr4/B2m/Thbs1/Cd1d1/Ctss/Fcgr1/Ccl19/Rab3b/Fgl2/Clec4a2/Clec4b2/Nod1/Tapbpl/Clec4a3/Clec4a4/Mill2/Pycard/H60c/Ulbp1/Raet1e/H60b/Rab32/Marchf1/Rab4a/Calr/Psme1/Psme2/H2-DMa/H2-DMb2/H2-DMb1/Psmb9/Tap1/Psmb8/Tap2/H2-Ob/H2-Ab1/H2-Aa/H2-Eb1/H2-M3/Tapbp/H2-K1/H2-Oa/H2-Eb2/H2-D1/H2-Q1/H2-Q4/H2-Q6/H2-T10/H2-T26/H2-T3/H2-T24/H2-T23/H2-T22/H2-Q7/Cd74/Unc93b1/Mpeg1,58
GO:0045089,positive regulation of innate immune response,117/2403,390/18994,0.3,2.371285893,10.41344755,5.17E-20,3.06E-17,2.60E-17,Ikbke/Rab7b/Ifi206/Ifi214/Ifi213/Ifi209/Ifi207/Ifi204/Mndal/Ifi211/Ifi203/Ifi205/Slamf6/Ifih1/Fcnb/Znfx1/Nmi/Fcna/Rasgrp1/Nr1h3/Zbp1/Sh2d1a/Tasl/Tlr7/Tlr2/Il21/Alpk1/Tifa/Cd160/Gbp5/Gbp7/Gbp3/Gbp2b/Gbp2/Il12a/Casp6/S100a8/S100a9/S100a14/Smpdl3b/Ppt1/Tlr12/Rigi/Gfi1/Oas1h/Oas1g/Oas1a/Oas3/Oas1e/Oas1b/Oasl1/Clnk/Kcnj8/Gimap3/Nod1/Klrk1/Klrc3/Klri1/Klri2/Tnip3/Klrb1c/Lag3/Pycard/Trim12a/Trim12c/Trim30c/Trim30a/Trim30d/Trim5/Irf7/Ulbp1/Raet1e/Nepn/Tlr3/Irf2/Ddx60/Nlrc5/Tlr11/Acod1/Lacc1/Tlr9/Cgas/Mmp12/Crtam/Casp1/Casp4/Ifi35/Lgals9/Rnf135/Igtp/Irgm2/Scimp/Nlrp1a/Nlrp1b/Cd300ld3/Irf1/Aurkb/Irgm1/Dhx58/Tifab/Rsad2/Mefv/Parp9/Nlrc4/H2-M3/Fpr2/Eif2ak2/Tnf/H2-T23/Rnf125/Ticam2/Sting1/Cd74/Cd14/Cd274/Pik3ap1/Unc93b1,117
